title,authors,date_published,date_updated,tags,url
Automatically create customized Amazon WorkSpaces Windows images,,2024-06-03T18:38:57+00:00,2024-07-03T20:25:35+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/automatically-create-customized-amazon-workspaces-windows-images/
Automatically create customized WorkSpaces Applications Linux images,,2022-04-28T13:10:31+00:00,2025-11-11T17:44:56+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/automatically-create-customized-appstream-2-0-linux-images/
Automatically create customized WorkSpaces Applications Windows images,,2022-03-29T20:00:09+00:00,2025-11-11T17:37:39+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/automatically-create-customized-appstream-2-0-windows-images/
Automating AWS Systems Manager activation for Amazon WorkSpaces,,2021-12-10T22:59:22+00:00,2025-07-24T15:28:16+00:00,Desktop & Application Streaming,https://aws.amazon.com/blogs/desktop-and-application-streaming/automating-aws-systems-manager-activation-for-amazon-workspaces/
Automating Foundational NICE DCV Infrastructure,,2024-08-16T18:58:36+00:00,2024-08-20T15:41:49+00:00,Announcements,https://aws.amazon.com/blogs/desktop-and-application-streaming/automating-foundational-nice-dcv-infrastructure/
Automation of infrastructure and application deployment for Amazon AppStream 2.0 with Terraform,,2024-01-12T18:39:00+00:00,2024-01-12T18:39:00+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/automation-of-infrastructure-and-application-deployment-for-amazon-appstream-2-0-with-terraform/
AWS and Webex collaborate to improve worker experience,,2023-11-27T02:40:41+00:00,2023-11-27T17:40:19+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-and-webex-collaborate-to-improve-worker-experience/
AWS announces Availability of Amazon AppStream 2.0 in the Europe (London) Region,,2021-06-30T21:59:25+00:00,2021-07-01T16:08:31+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-announces-availability-of-amazon-appstream-2-0-in-the-europe-london-region/
AWS Announces Availability of Amazon WorkSpaces in the Asia Pacific (Mumbai) Region,,2021-03-30T03:17:45+00:00,2021-03-30T03:17:45+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-announces-availability-of-amazon-workspaces-in-the-asia-pacific-mumbai-region/
AWS announces availability of Elastic fleets with Amazon AppStream 2.0,,2021-11-19T22:23:43+00:00,2022-01-14T19:53:37+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-announces-availability-of-elastic-fleets-with-amazon-appstream-2-0/
AWS CloudFormation support for Amazon AppStream 2.0 resources and API enhancements,,2018-10-26T14:59:24+00:00,2019-05-16T16:50:49+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-cloudformation-support-for-amazon-appstream-2-0-resources-and-api-enhancements/
AWS End User Computing coming to IGEL Disrupt 2023 in Nashville,,2023-03-30T17:39:52+00:00,2023-03-30T17:39:52+00:00,Announcements,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-end-user-computing-at-igel-disrupt-2023-nashville/
"AWS End User Computing at IGEL Disrupt 2024, Miami",,2024-04-25T22:10:12+00:00,2024-05-08T12:11:46+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-end-user-computing-at-igel-disrupt-2024-miami/
AWS End User Computing at re:Invent 2023: A sneak peek!,,2023-10-27T21:44:15+00:00,2023-12-20T18:20:48+00:00,Announcements,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-end-user-computing-at-reinvent-2023-a-sneak-peek/
AWS End User Computing (EUC) at Customer Contact Week 2023,,2023-06-15T22:07:25+00:00,2023-08-30T20:29:10+00:00,*Post Types,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-end-user-computing-euc-at-customer-contact-week-2023/
AWS End User Computing (EUC) at Washington DC Summit,,2024-06-20T17:48:07+00:00,2024-09-16T13:36:32+00:00,Amazon Machine Learning,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-end-user-computing-euc-at-washington-dc-summit/
AWS End User Computing Innovation Day 2023: Architecting end-user computing environments for change and agility,,2023-08-31T19:24:52+00:00,2023-11-01T21:30:50+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-end-user-computing-innovation-day-2023-architecting-end-user-computing-environments-for-change-and-agility/
AWS EUC at Gartner Digital Workplace Summit (North America),,2023-06-09T17:55:02+00:00,2023-06-09T17:55:21+00:00,Announcements,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-euc-at-gartner-digital-workplace-summit-north-america/
AWS EUC New York Summit: EUC201: The AI Advantage: Unlocking the full potential of your EUC Services,,2025-06-27T17:15:03+00:00,2025-06-27T17:20:22+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/aws-euc-new-york-summit-euc201-the-ai-advantage-unlocking-the-full-potential-of-your-euc-services/
